model_name,huggingface_id,status,total,correct,null_predictions,accuracy,error,accuracy_category_business,accuracy_category_humanities,accuracy_category_medical,accuracy_category_other,accuracy_category_stem,accuracy_category_social_sciences
gemma-4-e4b-it,google/gemma-4-E4B-it,ok,400,138,6,0.345,,0.43103448275862066,0.38235294117647056,0.3055555555555556,0.44642857142857145,0.10869565217391304,0.3235294117647059
gemma-4-26b-a4b-it,google/gemma-4-26B-A4B-it,ok,400,174,25,0.435,,0.3793103448275862,0.5196078431372549,0.4444444444444444,0.44642857142857145,0.34782608695652173,0.4117647058823529
gemma-3-4b-it,google/gemma-3-4b-it,ok,400,125,0,0.3125,,0.39655172413793105,0.38235294117647056,0.19444444444444445,0.32142857142857145,0.21739130434782608,0.27450980392156865
gemma-3-12b-it,google/gemma-3-12b-it,ok,400,176,0,0.44,,0.5,0.47058823529411764,0.4444444444444444,0.4642857142857143,0.391304347826087,0.38235294117647056
apertus-8b-instruct-2509,swiss-ai/Apertus-8B-Instruct-2509,ok,400,132,0,0.33,,0.3448275862068966,0.37254901960784315,0.1111111111111111,0.32142857142857145,0.30434782608695654,0.37254901960784315
qwen3-4b-instruct-2507,Qwen/Qwen3-4B-Instruct-2507,ok,400,140,0,0.35,,0.3275862068965517,0.4019607843137255,0.2777777777777778,0.39285714285714285,0.43478260869565216,0.27450980392156865
meta-llama-3.1-8b-instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,ok,400,154,1,0.385,,0.41379310344827586,0.3235294117647059,0.4444444444444444,0.5357142857142857,0.34782608695652173,0.3431372549019608
nemotron-mini-4b-instruct,nvidia/Nemotron-Mini-4B-Instruct,ok,400,132,0,0.33,,0.3275862068965517,0.3431372549019608,0.25,0.4107142857142857,0.21739130434782608,0.35294117647058826
mistral-nemo-minitron-8b-instruct,nvidia/Mistral-NeMo-Minitron-8B-Instruct,ok,400,125,0,0.3125,,0.27586206896551724,0.29411764705882354,0.3888888888888889,0.375,0.2608695652173913,0.3137254901960784
mistral-7b-instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ok,400,106,4,0.265,,0.22413793103448276,0.3235294117647059,0.3055555555555556,0.3392857142857143,0.1956521739130435,0.20588235294117646
gemma-2-9b-it-simpo-jopara-v3.4,rubuntu/gemma-2-9b-it-SimPO-Jopara-V3.4,ok,400,187,0,0.4675,,0.4827586206896552,0.47058823529411764,0.4444444444444444,0.44642857142857145,0.5434782608695652,0.4411764705882353
gemma-2-9b-it-simpo,princeton-nlp/gemma-2-9b-it-SimPO,ok,400,147,0,0.3675,,0.39655172413793105,0.4411764705882353,0.25,0.30357142857142855,0.391304347826087,0.3431372549019608
