model_name,huggingface_id,status,total,correct,null_predictions,accuracy,error,accuracy_category_business,accuracy_category_humanities,accuracy_category_medical,accuracy_category_other,accuracy_category_stem,accuracy_category_social_sciences
gemma-4-e4b-it,google/gemma-4-E4B-it,ok,400,148,2,0.37,,0.46551724137931033,0.39215686274509803,0.3611111111111111,0.5357142857142857,0.15217391304347827,0.30392156862745096
gemma-4-26b-a4b-it,google/gemma-4-26B-A4B-it,ok,400,171,11,0.4275,,0.4827586206896552,0.5098039215686274,0.3611111111111111,0.42857142857142855,0.391304347826087,0.35294117647058826
gemma-3-4b-it,google/gemma-3-4b-it,ok,400,135,0,0.3375,,0.39655172413793105,0.38235294117647056,0.2777777777777778,0.32142857142857145,0.34782608695652173,0.28431372549019607
gemma-3-12b-it,google/gemma-3-12b-it,ok,400,171,0,0.4275,,0.5,0.45098039215686275,0.3333333333333333,0.48214285714285715,0.3695652173913043,0.39215686274509803
apertus-8b-instruct-2509,swiss-ai/Apertus-8B-Instruct-2509,ok,400,133,0,0.3325,,0.3620689655172414,0.4019607843137255,0.2777777777777778,0.26785714285714285,0.32608695652173914,0.30392156862745096
qwen3-4b-instruct-2507,Qwen/Qwen3-4B-Instruct-2507,ok,400,131,1,0.3275,,0.3275862068965517,0.37254901960784315,0.2777777777777778,0.35714285714285715,0.391304347826087,0.2549019607843137
meta-llama-3.1-8b-instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,ok,400,144,1,0.36,,0.3448275862068966,0.3627450980392157,0.3055555555555556,0.4642857142857143,0.391304347826087,0.3137254901960784
nemotron-mini-4b-instruct,nvidia/Nemotron-Mini-4B-Instruct,ok,400,137,0,0.3425,,0.3793103448275862,0.3235294117647059,0.3333333333333333,0.39285714285714285,0.2608695652173913,0.35294117647058826
mistral-nemo-minitron-8b-instruct,nvidia/Mistral-NeMo-Minitron-8B-Instruct,ok,400,126,0,0.315,,0.27586206896551724,0.29411764705882354,0.3333333333333333,0.4107142857142857,0.2608695652173913,0.3235294117647059
mistral-7b-instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ok,400,113,1,0.2825,,0.3103448275862069,0.28431372549019607,0.16666666666666666,0.375,0.30434782608695654,0.24509803921568626
gemma-2-9b-it-simpo-jopara-v3.4,rubuntu/gemma-2-9b-it-SimPO-Jopara-V3.4,ok,400,189,0,0.4725,,0.4827586206896552,0.49019607843137253,0.4722222222222222,0.4642857142857143,0.5434782608695652,0.4215686274509804
gemma-2-9b-it-simpo,princeton-nlp/gemma-2-9b-it-SimPO,ok,400,154,0,0.385,,0.39655172413793105,0.49019607843137253,0.2222222222222222,0.3392857142857143,0.43478260869565216,0.3333333333333333
