model_name,huggingface_id,status,total,correct,accuracy,error
gemma-4-e4b-it,google/gemma-4-E4B-it,ok,0,0,0.0,
gemma-4-26b-a4b-it,google/gemma-4-26B-A4B-it,ok,0,0,0.0,
gemma-3-4b-it,google/gemma-3-4b-it,ok,0,0,0.0,
gemma-3-12b-it,google/gemma-3-12b-it,ok,0,0,0.0,
apertus-8b-instruct-2509,swiss-ai/Apertus-8B-Instruct-2509,ok,0,0,0.0,
qwen3-4b-instruct-2507,Qwen/Qwen3-4B-Instruct-2507,ok,0,0,0.0,
meta-llama-3.1-8b-instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,ok,0,0,0.0,
nemotron-mini-4b-instruct,nvidia/Nemotron-Mini-4B-Instruct,ok,0,0,0.0,
mistral-nemo-minitron-8b-instruct,nvidia/Mistral-NeMo-Minitron-8B-Instruct,ok,0,0,0.0,
mistral-7b-instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ok,0,0,0.0,
gemma-2-9b-it-simpo-jopara-v3.4,rubuntu/gemma-2-9b-it-SimPO-Jopara-V3.4,ok,0,0,0.0,
gemma-2-9b-it-simpo,princeton-nlp/gemma-2-9b-it-SimPO,ok,0,0,0.0,
