model_name,huggingface_id,status,total,correct,null_predictions,accuracy,error,accuracy_category_business,accuracy_category_humanities,accuracy_category_medical,accuracy_category_other,accuracy_category_stem,accuracy_category_social_sciences
gemma-4-e4b-it,google/gemma-4-E4B-it,ok,400,144,0,0.36,,0.43103448275862066,0.43137254901960786,0.3333333333333333,0.44642857142857145,0.17391304347826086,0.29411764705882354
gemma-4-26b-a4b-it,google/gemma-4-26B-A4B-it,ok,400,178,11,0.445,,0.43103448275862066,0.47058823529411764,0.4166666666666667,0.48214285714285715,0.3695652173913043,0.45098039215686275
gemma-3-4b-it,google/gemma-3-4b-it,ok,400,140,0,0.35,,0.41379310344827586,0.39215686274509803,0.3333333333333333,0.375,0.2826086956521739,0.29411764705882354
gemma-3-12b-it,google/gemma-3-12b-it,ok,400,162,0,0.405,,0.41379310344827586,0.4803921568627451,0.3611111111111111,0.5178571428571429,0.30434782608695654,0.3235294117647059
apertus-8b-instruct-2509,swiss-ai/Apertus-8B-Instruct-2509,ok,400,130,0,0.325,,0.3275862068965517,0.43137254901960786,0.1111111111111111,0.3392857142857143,0.30434782608695654,0.29411764705882354
qwen3-4b-instruct-2507,Qwen/Qwen3-4B-Instruct-2507,ok,400,119,35,0.2975,,0.3620689655172414,0.39215686274509803,0.3055555555555556,0.32142857142857145,0.10869565217391304,0.23529411764705882
meta-llama-3.1-8b-instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,ok,400,147,0,0.3675,,0.3620689655172414,0.37254901960784315,0.2777777777777778,0.42857142857142855,0.5,0.30392156862745096
nemotron-mini-4b-instruct,nvidia/Nemotron-Mini-4B-Instruct,ok,400,143,0,0.3575,,0.3620689655172414,0.3627450980392157,0.2777777777777778,0.4107142857142857,0.30434782608695654,0.37254901960784315
mistral-nemo-minitron-8b-instruct,nvidia/Mistral-NeMo-Minitron-8B-Instruct,ok,400,121,1,0.3025,,0.25862068965517243,0.3431372549019608,0.2222222222222222,0.39285714285714285,0.2608695652173913,0.28431372549019607
mistral-7b-instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,ok,400,117,19,0.2925,,0.3103448275862069,0.3333333333333333,0.19444444444444445,0.35714285714285715,0.2608695652173913,0.2549019607843137
gemma-2-9b-it-simpo-jopara-v3.4,rubuntu/gemma-2-9b-it-SimPO-Jopara-V3.4,ok,400,185,0,0.4625,,0.4827586206896552,0.49019607843137253,0.4722222222222222,0.48214285714285715,0.5,0.39215686274509803
gemma-2-9b-it-simpo,princeton-nlp/gemma-2-9b-it-SimPO,ok,400,148,0,0.37,,0.3275862068965517,0.45098039215686275,0.25,0.35714285714285715,0.43478260869565216,0.3333333333333333
